,Time,Distance,Avg HR,Max HR,Elev Gain,Elev Loss,Avg Run Cadence,Calories,Avg Temperature,Max Run Cadence,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap,File name,Date,Start time,Type
0,3896.0000000000005,15.24,157,178.0,95,72,83,864,11.2,93,159.0,14.139116373878243,34.10492679900701,265.81169590643276,275.4828986370954,362.7142857142857,Szymon+_ywko+_2019-11-12_10-57-39.CSV,2019-11-12,10-57-39,-1
0,1984.0000000000002,9.16,159,169.0,65,67,85,448,24.8,93,159.0,6.8688162015910175,5.673120219179564,217.97916666666669,217.5198470352106,226.7061403508772,Szymon+_ywko+_2019-10-19_14-20-45.CSV,2019-10-19,14-20-45,-1
0,3136.0,11.72,153,181.0,0,0,78,653,8.2,94,158.0,24.38626770901276,100.88182773129112,301.0567374741736,302.1346296463198,584.738203957382,Szymon+_ywko+_2019-11-23_14-40-26.CSV,2019-11-23,14-40-26,-1
0,3019.0,6.32,140,187.0,0,0,71,550,27.8,113,137.0,19.133620538232854,766.8523870289036,604.8660714285714,1046.4083562709036,2255.3025936599424,Szymon+_ywko+_2019-08-20_17-43-53.CSV,2019-08-20,17-43-53,-1
0,5012.0,15.67,128,155.0,26,5,80,767,16.1,88,141.0,25.23419348755695,103.47737348629826,257.7877359239329,284.71025349544675,684.0204582651392,Szymon+_ywko+_2020-05-14_17-18-38.CSV,2020-05-14,17-18-38,-1
0,2231.0,8.02,133,142.0,5,25,83,372,15.7,105,135.0,5.9618436748727,17.6272739723974,271.3468634686347,278.0959479753602,317.64536741214056,Szymon+_ywko+_2019-12-06_16-19-07.CSV,2019-12-06,16-19-07,-1
0,3083.0,11.87,133,153.0,57,66,80,521,13.6,92,133.0,5.769769121904444,8.545262569435017,259.3783629730962,261.34864645056007,278.97482014388487,Szymon+_ywko+_2019-11-18_17-06-12.CSV,2019-11-18,17-06-12,-1
0,2542.0,10.24,140,148.0,5,40,82,466,9.6,97,142.0,7.835061068474887,8.756646209113406,252.70355731225297,255.12865999997575,270.8255813953488,Szymon+_ywko+_2020-02-21_12-56-20.CSV,2020-02-21,12-56-20,-1
0,1872.0000000000002,8.02,152,165.0,10,15,83,395,22.0,88,156.0,10.648873576327043,20.4132104225124,225.66592920353983,235.37069991341667,285.41263940520446,Szymon+_ywko+_2019-12-02_16-18-01.CSV,2019-12-02,16-18-01,-1
0,688.0,2.71,146,153.0,0,0,81,136,21.1,84,149.0,8.25033488133829,21.250308221250698,250.87698412698413,262.76691216623044,292.6145038167939,Szymon+_ywko+_2020-04-19_14-00-45.CSV,2020-04-19,14-00-45,-1
0,1544.0,5.18,127,139.0,15,26,81,241,18.5,95,130.0,9.093433999503677,783.3060440516007,279.6649698691231,622.3568014213736,2373.507692307692,Szymon+_ywko+_2020-01-13_16-42-57.CSV,2020-01-13,16-42-57,-1
0,3649.0,13.56,154,178.0,67,128,82,772,14.0,93,159.0,18.45972209846501,199.4260930377704,263.1926129426129,324.1777157609759,1036.3346534653465,Szymon+_ywko+_2019-11-06_11-01-28.CSV,2019-11-06,11-01-28,-1
0,3924.0000000000005,15.9,142,158.0,106,138,84,739,14.4,95,144.0,9.78775929193631,413.1253607282302,258.1399847428073,364.8875505460214,1962.988326848249,Szymon+_ywko+_2019-12-15_12-03-11.CSV,2019-12-15,12-03-11,-1
